1:	Action: S_2
 	Input Queue: [integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

101:	Action: S_70
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, id, 17, =, 43, integer_constant, 70]
 	Input Queue: [;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

102:	Action: R_factor_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, id, 17, =, 43, factor, 74]
 	Input Queue: [;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

103:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, id, 17, =, 43, factor, 74, term', 91]
 	Input Queue: [;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

104:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, id, 17, =, 43, term, 73]
 	Input Queue: [;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

105:	Action: R_expr'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, id, 17, =, 43, term, 73, expr', 90]
 	Input Queue: [;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

106:	Action: R_expr_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, id, 17, =, 43, expr, 72]
 	Input Queue: [;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

107:	Action: S_89
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, id, 17, =, 43, expr, 72, ;, 89]
 	Input Queue: [}, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

108:	Action: R_assignmentStmt_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, assignmentStmt, 34]
 	Input Queue: [}, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

109:	Action: R_stmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmt, 38]
 	Input Queue: [}, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

110:	Action: R_stmts_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105]
 	Input Queue: [}, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

111:	Action: S_108
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108]
 	Input Queue: [else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

112:	Action: S_110
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110]
 	Input Queue: [{, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

113:	Action: S_112
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112]
 	Input Queue: [id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

114:	Action: S_17
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17]
 	Input Queue: [=, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

115:	Action: S_43
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43]
 	Input Queue: [integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

116:	Action: S_70
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43, integer_constant, 70]
 	Input Queue: [^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

117:	Action: R_factor_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43, factor, 74]
 	Input Queue: [^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

118:	Action: S_59
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43, factor, 74, ^, 59]
 	Input Queue: [integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

119:	Action: R_arithop_3
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43, factor, 74, arithop, 60]
 	Input Queue: [integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

120:	Action: S_27
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43, factor, 74, arithop, 60, integer_constant, 27]
 	Input Queue: [;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

121:	Action: R_factor_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43, factor, 74, arithop, 60, factor, 82]
 	Input Queue: [;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

122:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43, factor, 74, arithop, 60, factor, 82, term', 96]
 	Input Queue: [;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

123:	Action: R_term'_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43, factor, 74, term', 91]
 	Input Queue: [;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

124:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43, term, 73]
 	Input Queue: [;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

125:	Action: R_expr'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43, term, 73, expr', 90]
 	Input Queue: [;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

126:	Action: R_expr_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43, expr, 72]
 	Input Queue: [;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

127:	Action: S_89
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, id, 17, =, 43, expr, 72, ;, 89]
 	Input Queue: [}, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

128:	Action: R_assignmentStmt_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, assignmentStmt, 34]
 	Input Queue: [}, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

129:	Action: R_stmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, stmt, 38]
 	Input Queue: [}, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

130:	Action: R_stmts_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, stmts, 114]
 	Input Queue: [}, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

131:	Action: S_116
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, stmts, 105, }, 108, else, 110, {, 112, stmts, 114, }, 116]
 	Input Queue: [for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

132:	Action: R_ifStmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, ifStmt, 36]
 	Input Queue: [for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

133:	Action: R_stmt_7
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38]
 	Input Queue: [for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

134:	Action: S_28
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28]
 	Input Queue: [(, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

135:	Action: S_47
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47]
 	Input Queue: [id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

136:	Action: S_78
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78]
 	Input Queue: [=, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

137:	Action: S_93
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93]
 	Input Queue: [integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

138:	Action: S_27
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, integer_constant, 27]
 	Input Queue: [;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

139:	Action: R_factor_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, factor, 33]
 	Input Queue: [;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

140:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, factor, 33, term', 55]
 	Input Queue: [;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

141:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, term, 32]
 	Input Queue: [;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

142:	Action: R_expr'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, term, 32, expr', 50]
 	Input Queue: [;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

143:	Action: R_expr_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103]
 	Input Queue: [;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

144:	Action: S_106
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106]
 	Input Queue: [id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

145:	Action: S_41
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, id, 41]
 	Input Queue: [<, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

146:	Action: R_factor_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, factor, 33]
 	Input Queue: [<, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

147:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, factor, 33, term', 55]
 	Input Queue: [<, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

148:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, term, 32]
 	Input Queue: [<, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

149:	Action: S_52
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, term, 32, <, 52]
 	Input Queue: [integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

150:	Action: R_relop_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, term, 32, relop, 54]
 	Input Queue: [integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

151:	Action: S_27
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, term, 32, relop, 54, integer_constant, 27]
 	Input Queue: [;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

152:	Action: R_factor_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, term, 32, relop, 54, factor, 33]
 	Input Queue: [;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

153:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, term, 32, relop, 54, factor, 33, term', 55]
 	Input Queue: [;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

154:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, term, 32, relop, 54, term, 81]
 	Input Queue: [;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

155:	Action: R_expr'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, term, 32, relop, 54, term, 81, expr', 95]
 	Input Queue: [;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

156:	Action: R_expr'_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, term, 32, expr', 50]
 	Input Queue: [;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

157:	Action: R_expr_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109]
 	Input Queue: [;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

158:	Action: S_111
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111]
 	Input Queue: [id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

159:	Action: S_113
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113]
 	Input Queue: [=, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

160:	Action: S_115
